Aluno_ID,Distrito,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Portugues,Nota_Interna,Historia_A,Ingles,Geometria_Descritiva_A,Economia_A,MACS,Desenho_A,HCA,Literatura_Portuguesa,Geografia_A,Espanhol_Iniciacao,Historia_B,Matematica_B,Filosofia,Portugues_LNM,Alemao,Frances,Latim_A
2017_1,Outro,200.0,163.0,168.0,166,184,,,,,,,,,,,,,,,,,
2017_2,Porto,,,,119,139,119.0,133.0,,,,,,,,,,,,,,,
2017_3,Porto,186.0,,170.0,138,192,,,198.0,,,,,,,,,,,,,,
2017_4,Outro,128.0,,,128,140,,,,142.0,111.0,,,,,,,,,,,,
2017_5,Outro,86.0,,76.0,97,100,,,89.0,,,,,,,,,,,,,,
2017_6,Lisboa,141.0,125.0,114.0,136,142,,,,,,,,,,,,,,,,,
2017_7,Porto,155.0,135.0,129.0,117,149,,,,,,,,,,,,,,,,,
2017_8,Lisboa,87.0,85.0,67.0,95,100,,,,,,,,,,,,,,,,,
2017_9,Outro,,,,115,113,89.0,,,,95.0,,,,,,,,,,,,
2017_10,Setúbal,106.0,107.0,98.0,111,118,,,,,,,,,,,,,,,,,
2017_11,Porto,75.0,85.0,59.0,79,100,,,,,,,,,,,,,,,,,
2017_12,Lisboa,169.0,121.0,153.0,127,160,,,,,,,,,,,,,,,,,
2017_13,Faro,,,,135,156,,,,,,168.0,129.0,,,,,,,,,,
2017_14,Coimbra,69.0,75.0,65.0,80,100,,,,,,,,,,,,,,,,,
2017_15,Outro,95.0,,70.0,105,100,,,71.0,,,,,,,,,,,,,,
2017_16,Setúbal,180.0,138.0,174.0,148,177,,,,,,,,,,,,,,,,,
2017_17,Outro,,,,148,154,135.0,,,,,,,140.0,,,,,,,,,
2017_18,Porto,,,,130,149,125.0,161.0,,,,,,,,,,,,,,,
2017_19,Porto,160.0,138.0,136.0,129,157,,,,,,,,,,,,,,,,,
2017_20,Porto,,,,145,187,172.0,200.0,,,,,,,,,,,,,,,
2017_21,Outro,,,,190,200,192.0,,,,,,,,175.0,,,,,,,,
2017_22,Porto,111.0,105.0,98.0,111,114,,,,,,,,,,,,,,,,,
2017_23,Lisboa,99.0,89.0,87.0,108,109,,,,,,,,,,,,,,,,,
2017_24,Leiria,112.0,,,117,130,,,,135.0,99.0,,,,,,,,,,,,
2017_25,Coimbra,119.0,,111.0,128,138,,,145.0,,,,,,,,,,,,,,
2017_26,Porto,,,,159,188,,,,,,179.0,176.0,,,,,,,,,,
2017_27,Braga,123.0,,,122,130,,,,129.0,,,,,123.0,,,,,,,,
2017_28,Faro,146.0,120.0,126.0,120,144,,,,,,,,,,,,,,,,,
2017_29,Porto,77.0,95.0,76.0,95,100,,,,,,,,,,,,,,,,,
2017_30,Braga,161.0,119.0,123.0,130,144,,,,,,,,,,,,,,,,,
2017_31,Porto,128.0,112.0,130.0,115,131,,,,,,,,,,,,,,,,,
2017_32,Lisboa,102.0,99.0,85.0,109,112,,,,,,,,,,,,,,,,,
2017_33,Porto,,,,130,146,116.0,147.0,,,,,,,,,,,,,,,
2017_34,Lisboa,78.0,85.0,66.0,93,100,,,,,,,,,,,,,,,,,
2017_35,Lisboa,,,,116,129,109.0,,,,,,,111.0,,,,,,,,,
2017_36,Leiria,,,,109,124,,,,,,134.0,88.0,,,,,,,,,,
2017_37,Braga,105.0,,,107,132,,,,124.0,,,,,107.0,149.0,,,,,,,
2017_38,Braga,,,,95,100,71.0,,,,75.0,,,,,,,,,,,,
2017_39,Lisboa,51.0,75.0,56.0,75,100,,,,,,,,,,,,,,,,,
2017_40,Outro,,,,137,150,129.0,,,,,,,,135.0,,,,,,,,
2017_41,Lisboa,,,,95,119,,,,,,137.0,86.0,105.0,,,,,,,,,
2017_42,Lisboa,,,,135,151,135.0,,,,,,,149.0,,,,,,,,,
2017_43,Outro,151.0,145.0,135.0,140,158,,,,,,,,,,,,,,,,,
2017_44,Braga,108.0,,,121,134,,,,128.0,113.0,,,,,,,,,,,,
2017_45,Setúbal,183.0,,,170,200,,,,200.0,,,,,187.0,,,,,,,,
2017_46,Lisboa,,,,97,117,91.0,122.0,,,,,,,,,,,,,,,
2017_47,Braga,,,,130,126,115.0,,,,103.0,,,,,,,,,,,,
2017_48,Outro,,,,62,100,,,33.0,,,108.0,,,,,,,,,,,
2017_49,Porto,108.0,95.0,85.0,100,107,,,,,,,,,,,,,,,,,
2017_50,Setúbal,,,,98,114,86.0,106.0,,,,,,,,,,,,,,,
2017_51,Porto,195.0,,,177,185,,,,178.0,,,,,138.0,,,,,,,,
2017_52,Setúbal,158.0,131.0,125.0,119,145,,,,,,,,,,,,,,,,,
2017_53,Porto,156.0,,115.0,125,155,,,161.0,,,,,,,,,,,,,,
2017_54,Lisboa,167.0,135.0,125.0,127,152,,,,,,,,148.0,,,,,,,,,
2017_55,Braga,175.0,,,164,182,,,,173.0,192.0,,,,,,,,,,,,
2017_56,Lisboa,118.0,,116.0,125,147,,,153.0,,,,,,,,,,,,,,
2017_57,Lisboa,97.0,105.0,106.0,115,126,,,,,,,,,,,,,,,,,
2017_58,Porto,125.0,121.0,127.0,125,135,,,,,,,,,,,,,,,,,
2017_59,Lisboa,,,,145,149,155.0,,,,,,,,128.0,,,,,,,,
2017_60,Outro,125.0,115.0,119.0,110,136,,,,,,,,,,,,,,,,,
2017_61,Lisboa,,,,99,119,,,97.0,,,118.0,,,,,,,,,,,
2017_62,Porto,,,,95,103,88.0,103.0,,,,,,,,,,,,,,,
2017_63,Outro,111.0,,,113,131,,,,122.0,105.0,,,,,,,,,,,,
2017_64,Lisboa,141.0,,110.0,127,141,,,145.0,,,,,,,,,,,,,,
