Aluno_ID,Distrito,Historia_A,Portugues,Geografia_A,Nota_Interna,Matematica_A,Fisica_Quimica_A,Biologia_Geologia,Geometria_Descritiva_A,Economia_A,Desenho_A,Filosofia,HCA,MACS,Literatura_Portuguesa,Ingles,Historia_B,Matematica_B,Latim_A,Alemao,Espanhol_Iniciacao,Portugues_L2,Portugues_LNM,Frances
2018_1,Lisboa,61.0,85,90.0,100,,,,,,,,,,,,,,,,,,,
2018_2,Coimbra,87.0,110,110.0,113,,,,,,,,,,,,,,,,,,,
2018_3,Porto,,99,,109,85.0,95.0,106.0,,,,,,,,,,,,,,,,
2018_4,Braga,,88,,104,79.0,79.0,86.0,,,,,,,,,,,,,,,,
2018_5,Outro,,135,,163,157.0,151.0,,155.0,,,,,,,,,,,,,,,
2018_6,Braga,,67,,100,45.0,48.0,75.0,,,,,,,,,,,,,,,,
2018_7,Outro,,116,,117,95.0,101.0,,106.0,,,,,,,,,,,,,,,
2018_8,Outro,,135,,140,115.0,126.0,,126.0,,,,,,,,,,,,,,,
2018_9,Lisboa,,145,,195,190.0,200.0,195.0,,,,,,,,,,,,,,,,
2018_10,Porto,,105,122.0,119,89.0,,,,99.0,,,,,,,,,,,,,,
2018_11,Porto,,75,,100,,,,35.0,,103.0,,,,,,,,,,,,,
2018_12,Outro,136.0,147,146.0,161,,,,,,,,,,,,,,,,,,,
2018_13,Braga,,190,,200,,,,199.0,,196.0,198.0,,,,,,,,,,,,
2018_14,Outro,,87,,102,86.0,98.0,95.0,,,,,,,,,,,,,,,,
2018_15,Faro,109.0,130,136.0,143,,,,,,,,,,,,,,,,,,,
2018_16,Coimbra,,145,,184,175.0,188.0,195.0,,,,,,,,,,,,,,,,
2018_17,Outro,,115,,149,,,,147.0,,148.0,,,,,,,,,,,,,
2018_18,Leiria,,127,,163,,,,,,176.0,,142.0,,,,,,,,,,,
2018_19,Porto,,160,,189,175.0,179.0,195.0,,,,,,,,,,,,,,,,
2018_20,Outro,43.0,68,,100,,,,,,,,,43.0,,,,,,,,,,
2018_21,Lisboa,,130,,139,128.0,132.0,120.0,,,,,,,,,,,,,,,,
2018_22,Outro,,97,,121,103.0,108.0,,115.0,,,,,,,,,,,,,,,
2018_23,Porto,,140,,160,141.0,153.0,,166.0,,,,,,,,,,,,,,,
2018_24,Outro,85.0,97,,106,,,,,,,,,89.0,,,,,,,,,,
2018_25,Porto,,127,,156,135.0,150.0,135.0,,,,,,,,,,,,,,,,
2018_26,Leiria,,141,,176,146.0,184.0,,180.0,,,,,,,,,,,,,,,
2018_27,Lisboa,,119,,138,,,,,,147.0,,96.0,,,,,,,,,,,
2018_28,Lisboa,,117,,132,131.0,,,,132.0,,,,112.0,,,,,,,,,,
2018_29,Porto,,100,,103,73.0,95.0,87.0,,,,,,,,,,,,,,,,
2018_30,Porto,,110,,122,101.0,99.0,,112.0,,,,,,,,,,,,,,,
2018_31,Porto,,155,,200,200.0,200.0,195.0,,,,,,,,,,,,,,,,
2018_32,Outro,77.0,97,,100,,,,,,,,,,102.0,,,,,,,,,
2018_33,Lisboa,102.0,105,,114,,,,,,,,,97.0,,,,,,,,,,
2018_34,Lisboa,138.0,135,,163,,,,,,,,,,,168.0,,,,,,,,
2018_35,Outro,114.0,120,,131,,,,,,,,,,120.0,,,,,,,,,
2018_36,Lisboa,,99,,115,105.0,96.0,,89.0,,,,,,,,,,,,,,,
2018_37,Porto,,130,,162,131.0,147.0,,161.0,,,,,,,,,,,,,,,
2018_38,Porto,,128,,147,136.0,137.0,135.0,,,,,,,,,,,,,,,,
2018_39,Faro,159.0,155,166.0,179,,,,,,,,,,,,,,,,,,,
2018_40,Outro,,190,,200,200.0,160.0,195.0,,,,,,,,,,,,,,,,
2018_41,Faro,,106,,110,90.0,90.0,98.0,,,,,,,,,,,,,,,,
2018_42,Lisboa,119.0,120,,136,,,,,,,,,,132.0,,,,,,,,,
2018_43,Outro,106.0,115,,123,,,,,,,,,,110.0,,,,,,,,,
2018_44,Leiria,,130,,141,139.0,137.0,117.0,,,,,,,,,,,,,,,,
2018_45,Lisboa,,146,190.0,191,200.0,,,,176.0,,,,,,,,,,,,,,
2018_46,Braga,,90,112.0,103,71.0,,,,95.0,,,,,,,,,,,,,,
2018_47,Outro,,165,146.0,185,175.0,,,,179.0,,,,,,,,,,,,,,
2018_48,Outro,,121,,125,109.0,122.0,112.0,,,,,,,,,,,,,,,,
2018_49,Outro,,127,,144,149.0,143.0,127.0,,,,,,,,,,,,,,,,
2018_50,Outro,,71,,100,72.0,66.0,,63.0,,,,,,,,,,,,,,,
2018_51,Outro,150.0,140,,153,,,,,,,,,,136.0,,,,,,,,,
2018_52,Lisboa,,95,,103,87.0,95.0,,97.0,,,,,,,,,,,,,,,
2018_53,Outro,,112,,124,112.0,115.0,121.0,,,,,,,,,,,,,,,,
2018_54,Outro,,190,,199,191.0,179.0,195.0,,,,,,,,,,,,,,,,
2018_55,Braga,,101,,124,116.0,,,,105.0,,,,111.0,,,,,,,,,,
2018_56,Lisboa,,107,,114,96.0,95.0,104.0,,,,,,,,,,,,,,,,
2018_57,Porto,112.0,130,,144,,,,,,,,,,,157.0,,,,,,,,
2018_58,Porto,,117,,153,135.0,148.0,147.0,,,,,,,,,,,,,,,,
2018_59,Outro,120.0,145,,154,,,,,,,,,,,168.0,,,,,,,,
2018_60,Braga,,155,,186,,,,,,191.0,,180.0,,,,,,,,,,,
2018_61,Lisboa,,163,,177,168.0,169.0,140.0,,,,,,,,,,,,,,,,
2018_62,Lisboa,109.0,130,,145,,,,,,,,,141.0,,,,,,,,,,
2018_63,Lisboa,178.0,165,146.0,176,,,,,,,,,,,,,,,,,,,
2018_64,Outro,118.0,151,138.0,150,,,,,,,,,,,,,,,,,,,
2018_65,Leiria,96.0,98,,125,,,,,,,,,,,141.0,,,,,,,,
2018_66,Setúbal,,117,,141,129.0,134.0,117.0,,,,,,,,,,,,,,,,
2018_67,Lisboa,,151,,181,,,,,,196.0,,145.0,,,,,,,,,,,
2018_68,Braga,,145,,163,158.0,146.0,,152.0,,,,,,,,,,,,,,,
2018_69,Lisboa,,110,,112,96.0,,,,110.0,,,,102.0,,,,,,,,,,
2018_70,Faro,,125,122.0,123,116.0,,,,121.0,,,,,,,,,,,,,,
2018_71,Lisboa,,145,,180,166.0,160.0,,200.0,,,,,,,,,,,,,,,
2018_72,Outro,,86,,100,69.0,87.0,95.0,,,,,,,,,,,,,,,,
2018_73,Setúbal,,117,,131,135.0,109.0,117.0,,,,,,,,,,,,,,,,
2018_74,Outro,128.0,145,146.0,154,,,,,,,,,,,,,,,,,,,
2018_75,Lisboa,,129,,145,140.0,120.0,125.0,,,,,,,,,,,,,,,,
2018_76,Braga,,130,,136,122.0,,,,119.0,,,,125.0,,,,,,,,,,
2018_77,Lisboa,99.0,99,,103,,,,,,,,,90.0,,,,,,,,,,
2018_78,Setúbal,145.0,145,,166,,,,,,,,,,,174.0,,,,,,,,
2018_79,Porto,,110,,122,,,,,,140.0,,90.0,,,,,,,,,,,
2018_80,Braga,,119,,142,116.0,131.0,130.0,,,,,,,,,,,,,,,,
2018_81,Leiria,,132,,153,138.0,156.0,146.0,,,,,,,,,,,,,,,,
2018_82,Porto,,140,,177,181.0,170.0,,179.0,,,,,,,,,,,,,,,
2018_83,Coimbra,,128,,160,125.0,137.0,,183.0,,,,,,,,,,,,,,,
2018_84,Faro,,179,,200,,,,200.0,,186.0,,,,,,,,,,,,,
2018_85,Coimbra,,106,,101,91.0,85.0,,80.0,,,,,,,,,,,,,,,
2018_86,Setúbal,,129,,160,139.0,177.0,132.0,,,,,,,,,,,,,,,,
2018_87,Lisboa,,125,,125,120.0,106.0,105.0,,,,,,,,,,,,,,,,
2018_88,Braga,126.0,161,190.0,180,,,,,,,,,,,,,,,,,,,
2018_89,Setúbal,,147,158.0,191,200.0,,,,200.0,,,,,,,,,,,,,,
2018_90,Outro,,58,,100,60.0,,,,51.0,,,,56.0,,,,,,,,,,
2018_91,Outro,,147,,169,186.0,156.0,141.0,,,,,,,,,,,,,,,,
2018_92,Outro,,108,,139,122.0,113.0,,143.0,,,,,,,,,,,,,,,
2018_93,Faro,51.0,65,,100,,,,,,,,,,70.0,,,,,,,,,
2018_94,Porto,103.0,110,,122,,,,,,,,,,117.0,,,,,,,,,
2018_95,Braga,,125,,138,135.0,125.0,119.0,,,,,,,,,,,,,,,,
2018_96,Porto,,190,190.0,191,168.0,,,,162.0,,,,,,,,,,,,,,
2018_97,Braga,120.0,117,,129,,,,,,,,,106.0,,,,,,,,,,
2018_98,Lisboa,,88,108.0,100,66.0,,,,77.0,,,,,,,,,,,,,,
2018_99,Coimbra,,125,,157,,,,,,162.0,,129.0,,,,,,,,,,,
2018_100,Coimbra,,121,,143,,,,,,151.0,,120.0,,,,,,,,,,,
2018_101,Braga,,142,,187,,,,189.0,,180.0,,,,,,,,,,,,,
2018_102,Porto,196.0,151,148.0,170,150.0,,,,188.0,,,,,,,,,,,,,,
2018_103,Outro,,95,,103,86.0,82.0,84.0,,,,,,,,,,,,,,,,
2018_104,Lisboa,168.0,146,,179,,,,,,,,,,190.0,,,,,,,,,
2018_105,Lisboa,,135,158.0,169,170.0,,,,149.0,,,,,,,,,,,,,,
2018_106,Setúbal,68.0,88,,100,,,,,,,,,67.0,,,,,,,,,,
2018_107,Outro,,75,,101,,,,,,118.0,,67.0,,,,,,,,,,,
2018_108,Lisboa,78.0,89,,111,,,,,,,,,,,118.0,119.0,,,,,,,
2018_109,Lisboa,196.0,151,,191,,,,,,,,,,,200.0,,,,,,,,
2018_110,Porto,,95,,104,96.0,88.0,102.0,,,,,,,,,,,,,,,,
2018_111,Lisboa,131.0,127,,153,,,,,,,,136.0,,,162.0,,,,,,,,
2018_112,Lisboa,,190,,188,196.0,161.0,162.0,,,,,,,,,,,,,,,,
2018_113,Porto,,190,158.0,193,200.0,,,,171.0,,,,,,,,,,,,,,
2018_114,Faro,96.0,100,,118,,,,,,,,,,,130.0,,,,,,,,
2018_115,Lisboa,142.0,125,,154,,,,,,,,,,,156.0,,,,,,,,
2018_116,Lisboa,,115,,138,129.0,124.0,126.0,,,,,,,,,,,,,,,,
2018_117,Braga,,106,,123,116.0,110.0,112.0,,,,,,,,,,,,,,,,
2018_118,Lisboa,127.0,132,,149,,,,,,,,,,,162.0,,,,,,,,
2018_119,Leiria,140.0,130,,152,,,,,,,,,,125.0,,,,,,,,,
2018_120,Outro,,120,,124,,,,,,137.0,,95.0,,,,,,,,,,,
2018_121,Outro,112.0,136,132.0,136,,,,,,,,,,,,,,,,,,,
2018_122,Lisboa,,131,,155,155.0,125.0,129.0,,,,,,,,,,,,,,,,
2018_123,Porto,,175,158.0,178,165.0,,,,177.0,,,,,,,,,,,,,,
2018_124,Lisboa,136.0,190,152.0,168,,,,,,,,,,,,,,,,,,,
2018_125,Braga,,102,,103,89.0,,,,106.0,,,,88.0,,,,,,,,,,
2018_126,Outro,,90,,105,,,,68.0,,113.0,,,,,,,,,,,,,
2018_127,Porto,,105,,122,98.0,89.0,106.0,,,,,,,,,,,,,,,,
2018_128,Braga,,110,,134,128.0,115.0,112.0,,,,,,,,,,,,,,,,
2018_129,Outro,,95,108.0,107,86.0,,,,99.0,,,,,,,,,,,,,,
2018_130,Porto,107.0,127,,125,,,,,,,,,105.0,,,,,,,,,,
2018_131,Porto,,125,,138,129.0,122.0,135.0,,,,,,,,,,,,,,,,
2018_132,Lisboa,134.0,132,152.0,154,,,,,,,,,,,,,,,,,,,
2018_133,Setúbal,,110,,129,122.0,,,,102.0,,,,115.0,,,,,,,,,,
2018_134,Leiria,,125,,149,,,,136.0,,145.0,,,,,,,,,,,,,
2018_135,Outro,,86,,104,,,,53.0,,130.0,,,,,,,,,,,,,
2018_136,Lisboa,,116,,145,146.0,145.0,,135.0,,,,,,,,,,,,,,,
2018_137,Porto,88.0,100,,113,,,,,,,,,,100.0,,,,,,,,,
