Aluno_ID,Distrito,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Portugues,Nota_Interna,Economia_A,Geografia_A,Geometria_Descritiva_A,Desenho_A,HCA,Historia_A,MACS,Ingles,Literatura_Portuguesa,Latim_A,Historia_B,Alemao,Filosofia,Portugues_L2,Portugues_LNM,Matematica_B,Frances,Espanhol_Iniciacao
2019_1,Porto,101.0,92.0,96.0,109,114,,,,,,,,,,,,,,,,,,
2019_2,Lisboa,140.0,,,121,132,120.0,109.0,,,,,,,,,,,,,,,,
2019_3,Outro,69.0,66.0,43.0,88,100,,,,,,,,,,,,,,,,,,
2019_4,Braga,105.0,,87.0,111,119,,,135.0,,,,,,,,,,,,,,,
2019_5,Outro,128.0,,137.0,138,159,,,182.0,,,,,,,,,,,,,,,
2019_6,Setúbal,,,,127,137,,,,145.0,129.0,,,,,,,,,,,,,
2019_7,Setúbal,,,,141,148,,,,,,137.0,118.0,,,,,,,,,,,
2019_8,Faro,182.0,142.0,161.0,162,176,,,,,,,,,,,,,,,,,,
2019_9,Braga,141.0,,,120,140,135.0,,,,,,115.0,,,,,,,,,,,
2019_10,Coimbra,122.0,,95.0,118,139,,,168.0,,,,,,,,,,,,,,,
2019_11,Lisboa,155.0,,,165,161,151.0,128.0,,,,,,,,,,,,,,,,
2019_12,Lisboa,120.0,132.0,117.0,128,141,,,,,,,,,,,,,,,,,,
2019_13,Lisboa,,,,137,151,,116.0,,,,127.0,,168.0,,,,,,,,,,
2019_14,Faro,95.0,90.0,72.0,99,103,,,,,,,,,,,,,,,,,,
2019_15,Outro,175.0,,,171,188,162.0,184.0,,,,,,,,,,,,,,,,
2019_16,Porto,,,,106,138,,,,141.0,105.0,,,,,,,,,,,,,
2019_17,Leiria,85.0,,87.0,106,113,,,123.0,,,,,,,,,,,,,,,
2019_18,Porto,,,,152,174,,,,,,160.0,177.0,,,,,,,,,,,
2019_19,Lisboa,,,,119,121,,100.0,,,,100.0,,,,,,,,,,,,
2019_20,Outro,125.0,127.0,119.0,139,135,,,,,,,,,,,,,,,,,,
2019_21,Lisboa,,,,125,123,,102.0,,,,106.0,,,,,,,,,,,,
2019_22,Braga,111.0,96.0,86.0,101,112,,,,,,,,,,,,,,,,,,
2019_23,Outro,145.0,122.0,136.0,145,152,,,,,,,,,,,,,,,,,,
2019_24,Porto,,,,85,100,,,,,,62.0,,,77.0,,,,,,,,,
2019_25,Outro,158.0,,168.0,156,180,,,191.0,,,,,,,129.0,,,,,,,,
2019_26,Lisboa,169.0,,,150,167,170.0,147.0,,,,,,,,,,,,,,,,
2019_27,Outro,,,,98,120,,,87.0,129.0,,,,,,,,,,,,,,
2019_28,Lisboa,200.0,,,149,189,198.0,152.0,,,,,,,,,,,,,,,,
2019_29,Porto,145.0,151.0,149.0,148,164,,,,,,,,,,,,,,,,,,
2019_30,Porto,,,,103,130,,,,138.0,99.0,,,,,,,,,,,,,
2019_31,Outro,146.0,120.0,135.0,135,154,,,,,,,,,,,156.0,,,,,,,
2019_32,Porto,,,,139,146,,132.0,,,,135.0,,,,,,,,,,,,
2019_33,Coimbra,145.0,,110.0,119,156,,,184.0,,,,,,,,147.0,,,,,,,
2019_34,Setúbal,,,,107,110,,,,,,96.0,80.0,,,,,,,,,,,
2019_35,Outro,,,,135,164,,,162.0,159.0,,,,,,,,,,,,,,
2019_36,Faro,172.0,125.0,139.0,150,161,,,,,,,,,,,,,,,,,,
2019_37,Outro,,,,148,159,,129.0,,,,155.0,,,,,,,,,,,,
2019_38,Porto,96.0,,,95,112,95.0,88.0,,,,,,,,,,,,,,,,
2019_39,Braga,99.0,,89.0,120,134,,,164.0,,,,,,,,,,,,,,,
2019_40,Porto,46.0,,44.0,75,100,,,56.0,,,,,,,,,,,,,,,
2019_41,Lisboa,,,,164,198,,,,196.0,200.0,,,,,,,,,,,,,
2019_42,Lisboa,,,,100,116,,,,,,96.0,,,105.0,,,,,,,,,
2019_43,Porto,196.0,,151.0,150,187,,,188.0,,,,,,,,,,,,,,,
2019_44,Lisboa,98.0,107.0,105.0,116,115,,,,,,,,,,,,,,,,,,
2019_45,Outro,,,,120,141,,,,140.0,128.0,,,,,,,,,,,,,
2019_46,Porto,,,,171,172,,,,173.0,147.0,,,,,,,,,,,,,
2019_47,Lisboa,126.0,114.0,88.0,116,127,,,,,,,,,,,,,,,,,,
2019_48,Porto,86.0,,95.0,95,115,,,133.0,,,,,,,,,,,,,,,
2019_49,Lisboa,,,,141,160,,146.0,,,,167.0,,,,,,,,,,,,
2019_50,Lisboa,177.0,,148.0,154,183,,,200.0,,,,,,,,,,,,,,,
2019_51,Outro,180.0,160.0,156.0,155,176,,,,,,,,,,,,,,,,,,
2019_52,Braga,,,,85,110,,,,,,83.0,,120.0,,,,,,,,,,
2019_53,Porto,,,,193,185,,,,,,156.0,,,148.0,,,,,,,,,
2019_54,Faro,,,,120,126,,,,,,98.0,115.0,,,,,,,,,,,
2019_55,Setúbal,117.0,,,121,136,130.0,,,,,,118.0,,,,,,,,,,,
2019_56,Lisboa,147.0,120.0,125.0,136,139,,,,,,,,,,,,,,,,,,
2019_57,Coimbra,147.0,,141.0,137,161,,,178.0,,,,,,,,,,,,,,,
2019_58,Setúbal,148.0,,131.0,128,162,,,186.0,,,,,,,,,,,,,,,
2019_59,Outro,86.0,97.0,90.0,112,117,,,,,,,,,,,,,,,,,,
2019_60,Setúbal,67.0,72.0,57.0,75,100,,,,,,,,,,,,,,,,,,
2019_61,Lisboa,,,,139,183,,,191.0,169.0,,,,,,,,174.0,,,,,,
2019_62,Outro,,,,146,173,,,,,,152.0,,162.0,,,,,,,,,,
2019_63,Porto,66.0,65.0,56.0,87,100,,,,,,,,,,,,,,,,,,
2019_64,Porto,181.0,166.0,147.0,142,161,,,,,,,,,,,,,,,,,,
2019_65,Braga,105.0,101.0,100.0,116,120,,,,,,,,,,,,,,,,,,
2019_66,Porto,,,,148,170,,,,,,132.0,,174.0,,,,,,,,,,
2019_67,Porto,,,,126,131,,,,,,112.0,,,117.0,,,,,,,,,
2019_68,Outro,97.0,92.0,106.0,122,119,,,,,,,,,,,,,,,,,,
2019_69,Lisboa,,,,115,125,,,,,,105.0,,,108.0,,,,,,,,,
2019_70,Setúbal,106.0,102.0,99.0,120,118,,,,,,,,,,,,,,,,,,
2019_71,Lisboa,175.0,169.0,191.0,146,177,,,,,,,,,,,,,,,,,,
2019_72,Outro,100.0,,,115,113,105.0,96.0,,,,,,,,,,,,,,,,
2019_73,Lisboa,,,,96,100,,,,,,90.0,86.0,,,,,,,,,,,
2019_74,Porto,,,,67,100,,,,,,76.0,68.0,,,,,,,,,,,
2019_75,Porto,155.0,136.0,165.0,141,168,,,,,,,,,,,,,,,,,,
2019_76,Coimbra,,,,97,123,,,,119.0,101.0,,,,,,,,,,,,,
2019_77,Lisboa,167.0,,,155,179,169.0,,,,,,156.0,,,,,,,,,,,
2019_78,Porto,138.0,126.0,143.0,125,144,,,,,,,,,,,,,,,,,,
2019_79,Porto,178.0,148.0,199.0,176,191,,,,,,,,,,,,,,,,,,
2019_80,Outro,,,,123,136,,,,,,125.0,125.0,,,,,,,,,,,
2019_81,Outro,,,,121,136,,,,,,135.0,127.0,,,,,,,,,,,
2019_82,Lisboa,,,,165,162,,,,,,137.0,142.0,,,,,,,,,,,
2019_83,Braga,,,,165,195,,,197.0,176.0,,,,,,,,,,,,,,
2019_84,Faro,,,,137,158,,,,,,152.0,,,140.0,,,,,,,,,
2019_85,Coimbra,,,,188,181,,147.0,,,,196.0,,,,,,,,,,,,
2019_86,Lisboa,,,,130,135,,,,,,115.0,115.0,,,,,,,,,,,
2019_87,Outro,135.0,118.0,132.0,122,144,,,,,,,,,,,,,118.0,,,,,
2019_88,Outro,95.0,99.0,96.0,115,117,,,,,,,,,,,,,,,,,,
2019_89,Porto,,,,172,180,,,,,,149.0,178.0,,,,,,,,,,,
2019_90,Lisboa,175.0,135.0,148.0,157,168,,,,,,,,,,,,,,,,,,
2019_91,Outro,,,,140,142,,,,,,117.0,,,121.0,,,,,,,,,
2019_92,Porto,,,,146,185,,,186.0,170.0,,,,,,,,,,,,,,
2019_93,Lisboa,70.0,79.0,66.0,106,100,,,,,,,,,,,,,,,,,,
2019_94,Outro,,,,100,144,,,148.0,132.0,,,,,,,,,,,,,,
2019_95,Outro,200.0,,159.0,185,200,,,200.0,,,,,,,,,,,,,,,
