Aluno_ID,Distrito,Desenho_A,Portugues,HCA,Nota_Interna,Historia_A,MACS,Ingles,Geografia_A,Matematica_A,Fisica_Quimica_A,Geometria_Descritiva_A,Literatura_Portuguesa,Filosofia,Economia_A,Biologia_Geologia,Matematica_B,Portugues_L2,Espanhol_Iniciacao,Mandarim_Iniciacao,Espanhol_Continuacao,Alemao,Frances,Portugues_LNM,Latim_A,Historia_B
2020_1,Outro,179.0,197,187.0,200,,,,,,,,,,,,,,,,,,,,,
2020_2,Braga,,128,,144,140.0,95.0,,,,,,,,,,,,,,,,,,,
2020_3,Coimbra,,136,,168,163.0,,180.0,148.0,,,,,,,,,,,,,,,,,
2020_4,Setúbal,,178,,200,,,,,195.0,196.0,190.0,,,,,,,,,,,,,,
2020_5,Outro,180.0,159,,192,,,,,,,194.0,,,,,,,,,,,,,,
2020_6,Setúbal,,159,,200,,,,,200.0,188.0,199.0,,,,,,,,,,,,,,
2020_7,Lisboa,,108,,123,101.0,,,,,,,97.0,117.0,,,,,,,,,,,,
2020_8,Coimbra,,135,,143,,107.0,,,165.0,,,,,137.0,,,,,,,,,,,
2020_9,Porto,,137,,170,,,,,170.0,176.0,,,,,169.0,,,,,,,,,,
2020_10,Outro,,147,,167,167.0,,,155.0,,,,,,,,,,,,,,,,,
2020_11,Setúbal,,197,,197,200.0,,,,,,,175.0,,,,,,,,,,,,,
2020_12,Braga,,148,,184,,,,,181.0,187.0,186.0,,,,,,,,,,,,,,
2020_13,Coimbra,,145,,178,,,,,175.0,171.0,,,,,170.0,,,,,,,,,,
2020_14,Leiria,,176,,200,195.0,200.0,,,,,,,,,,,,,,,,,,,
2020_15,Outro,,158,,188,191.0,,,178.0,,,,,,,,,,,,,,,,,
2020_16,Outro,,140,,181,,,,,176.0,181.0,,,,,177.0,,,,,,,,,,
2020_17,Lisboa,,105,,100,,,,,75.0,82.0,,,,,111.0,,,,,,,,,,
2020_18,Outro,,149,,192,,,,185.0,195.0,,,,,187.0,,,,,,,,,,,
2020_19,Lisboa,,157,,178,,154.0,,,195.0,,,,,175.0,,,,,,,,,,,
2020_20,Faro,,170,,200,,,,,195.0,200.0,,,,,192.0,176.0,,,,,,,,,
2020_21,Braga,,150,,181,,,,,188.0,167.0,,,,,173.0,,,,,,,,,,
2020_22,Lisboa,,105,,120,,,,,121.0,116.0,98.0,,,,,,,,,,,,,,
2020_23,Coimbra,,132,,161,140.0,,,148.0,,,,,,,,,,,,,,,,,
2020_24,Lisboa,,151,,191,,,,181.0,191.0,,,,,176.0,,,,,,,,,,,
2020_25,Outro,,153,,186,,,,,189.0,173.0,,,,,174.0,,,,,,,,,,
2020_26,Outro,,120,,137,,95.0,,,141.0,,,,,127.0,,,,,,,,,,,
2020_27,Lisboa,,148,,170,,,,,181.0,172.0,150.0,,,,,,,,,,,,,,
2020_28,Outro,,138,,176,,,,,167.0,168.0,,,,,173.0,,,,,,,,,,
2020_29,Lisboa,,85,,100,85.0,,,95.0,,,,,,,,,,,,,,,,,
2020_30,Outro,,143,,155,159.0,122.0,,,,,,,,,,,,,,,,,,,
2020_31,Porto,,131,,163,158.0,,186.0,,,,,,,,,,,,,,,,,,
2020_32,Lisboa,,135,,172,,,,,153.0,159.0,,,,,162.0,,,,,,,,,,
2020_33,Lisboa,143.0,111,,131,,,,,,,106.0,,,,,,,,,,,,,,
2020_34,Coimbra,,142,,173,,,,,159.0,171.0,,,,,163.0,,,,,,,,,,
2020_35,Lisboa,,149,,171,176.0,154.0,,,,,,,,,,,,,,,,,,,
2020_36,Porto,,125,,143,127.0,,150.0,,,,,,,,,,,,,,,,,,
2020_37,Outro,,155,,200,,,,,200.0,196.0,,,,,187.0,,,,,,,,,,
2020_38,Porto,,97,,107,,,,,95.0,96.0,,,,,110.0,,,,,,,,,,
2020_39,Braga,,189,,200,,,,,200.0,185.0,,,,,182.0,,,,,,,,,,
2020_40,Outro,,100,,100,88.0,,,,,,,68.0,,,,,,,,,,,,,
2020_41,Setúbal,,136,,149,161.0,111.0,,,,,,,,,,,,,,,,,,,
2020_42,Lisboa,161.0,132,,160,,,,,,,150.0,,,,,,,,,,,,,,
2020_43,Outro,159.0,137,,158,,,,,,,138.0,,,,,,,,,,,,,,
2020_44,Lisboa,,107,,117,,,,,106.0,127.0,105.0,,,,,,,,,,,,,,
2020_45,Porto,151.0,121,,144,,,,,,,129.0,,,,,,,,,,,,,,
2020_46,Outro,,146,,186,172.0,,180.0,,,,,,,162.0,,,,,,,,,,,
2020_47,Porto,,167,,200,,,,,200.0,200.0,,,,,200.0,,,,,,,,,,
2020_48,Outro,,147,,180,184.0,,,,,,,163.0,,,,,,,,,,,,,
2020_49,Porto,,141,,177,,,,,172.0,170.0,,,,,170.0,,,,,,,,,,
2020_50,Coimbra,,125,,168,,,,,145.0,171.0,,,,,156.0,,,,,,,,,,
2020_51,Braga,,159,,198,,,,,197.0,200.0,,,,,189.0,,,,,,,,,,
2020_52,Braga,,122,,135,,,,,129.0,125.0,114.0,,,,,,,,,,,,,,
