Aluno_ID,Distrito,Desenho_A,Portugues,Geometria_Descritiva_A,Nota_Interna,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Historia_A,Ingles,Economia_A,MACS,Literatura_Portuguesa,Geografia_A,HCA,Portugues_L2,Historia_B,Espanhol_Continuacao,Filosofia,Latim_A,Espanhol_Iniciacao,Frances,Alemao,Portugues_LNM,Mandarim_Iniciacao,Matematica_B
2021_1,Porto,161.0,160,197.0,179,,,,,,,,,,,,,,,,,,,,,
2021_2,Outro,,198,,200,200.0,171.0,188.0,,,,,,,,,,,,,,,,,,
2021_3,Leiria,,122,,141,,,,124.0,150.0,,,,,,,,,,,,,,,,
2021_4,Lisboa,,134,,131,121.0,,,,,140.0,117.0,,,,,,,,,,,,,,
2021_5,Setúbal,,139,,143,145.0,131.0,100.0,,,,,,,,,,,,,,,,,,
2021_6,Lisboa,,195,,200,,,,188.0,,,,168.0,,,,,,,,,,,,,
2021_7,Outro,,180,,194,,,,176.0,192.0,,,,,,,,,,,,,,,,
2021_8,Porto,,146,,153,137.0,,,,,147.0,143.0,,,,,,,,,,,,,,
2021_9,Lisboa,,97,,113,,,,107.0,,,,,90.0,,,,,,,,,,,,
2021_10,Outro,,155,,157,131.0,145.0,116.0,,,,,,,,,,,,,,,,,,
2021_11,Lisboa,,126,,136,107.0,,,,,146.0,,,113.0,,,,,,,,,,,,
2021_12,Porto,,129,147.0,128,90.0,,92.0,,,,,,,,,,,,,,,,,,
2021_13,Outro,,145,,158,157.0,,,,,161.0,,,125.0,,,,,,,,,,,,
2021_14,Outro,,155,,173,,,,151.0,,,,157.0,,,,,,,,,,,,,
2021_15,Outro,,141,,143,125.0,,,,,150.0,,,120.0,,,,,,,,,,,,
2021_16,Lisboa,,118,127.0,124,87.0,,98.0,,,,,,,,,,,,,,,,,,
2021_17,Lisboa,,61,,100,1.0,,,,,70.0,,,8.0,,,,,,,,,,,,
2021_18,Outro,,126,,158,,,,139.0,161.0,,,,,,,,,,,,,,,,
2021_19,Lisboa,,155,,166,151.0,,,,,161.0,135.0,,,,,,,,,,,,,,
2021_20,Coimbra,,138,148.0,138,125.0,,104.0,,,,,,,,,,,,,,,,,,
2021_21,Lisboa,,176,,184,161.0,184.0,175.0,,,,,,,,,,,,,,,,,,
2021_22,Outro,,131,,148,145.0,150.0,108.0,,,,,,,,,,,,,,,,,,
2021_23,Outro,,172,198.0,185,179.0,,146.0,,,,,,,,,,,,,,,,,,
2021_24,Braga,,115,,144,,,,131.0,152.0,,,,,,,,,,,,,,,,
2021_25,Porto,,170,,193,,,,186.0,,,,168.0,,,,,,,,,,,,,
2021_26,Braga,,152,,155,145.0,147.0,130.0,,,,,,,,,,,,,,,,,,
2021_27,Faro,,146,,157,,,,156.0,,,,142.0,129.0,,,,,,,,,,,,
2021_28,Lisboa,,178,,200,,,,176.0,,,197.0,,,,,,,,,,,,,,
2021_29,Faro,,86,21.0,100,34.0,,50.0,,,,,,,,,,,,,,,,,,
