Aluno_ID,Distrito,Matematica_A,Economia_A,Portugues,MACS,Nota_Interna,Fisica_Quimica_A,Biologia_Geologia,Desenho_A,HCA,Historia_A,Geografia_A,Geometria_Descritiva_A,Historia_B,Ingles,Literatura_Portuguesa,Espanhol_Iniciacao,Filosofia,Frances,Espanhol_Continuacao,Mandarim_Iniciacao,Alemao,Portugues_LNM,Latim_A,Matematica_B,Portugues_L2
2022_1,Outro,155.0,131.0,119,128.0,148,,,,,,,,,,,,,,,,,,,,
2022_2,Porto,200.0,,175,,200,199.0,176.0,,,,,,,,,,,,,,,,,,
2022_3,Lisboa,,,85,,116,,,118.0,103.0,,,,,,,,,,,,,,,,
2022_4,Outro,110.0,88.0,101,85.0,111,,,,,,,,,,,,,,,,,,,,
2022_5,Porto,,,166,,196,,,,,200.0,168.0,,,,,,,,,,,,,,
2022_6,Coimbra,,,196,,189,,,,,169.0,160.0,,,,,,,,,,,,,,
2022_7,Porto,152.0,,121,,154,139.0,,,,,,138.0,,,,,,,,,,,,,
2022_8,Outro,57.0,,79,,100,84.0,77.0,,,,,,,,,,,,,,,,,,
2022_9,Porto,,,196,,200,,,200.0,,,,200.0,,,,,,,,,,,,,
2022_10,Faro,135.0,,110,,127,121.0,114.0,,,,,,,,,,,,,,,,,,
2022_11,Lisboa,,,115,107.0,124,,,,,132.0,,,,,,,,,,,,,,,
2022_12,Lisboa,189.0,171.0,196,,194,,,,,,156.0,,,,,,,,,,,,,,
2022_13,Leiria,150.0,,123,,140,129.0,107.0,,,,,,,,,,,,,,,,,,
2022_14,Lisboa,,,175,,170,,,,,168.0,146.0,,,,,,,,,,,,,,
2022_15,Leiria,,,117,124.0,141,,,,,136.0,,,,,,,,,,,,,,,
2022_16,Lisboa,,,118,,136,,,165.0,,,,101.0,,,,,,,,,,,,,
2022_17,Lisboa,111.0,106.0,102,,119,,,,,,106.0,,,,,,,,,,,,,,
2022_18,Outro,102.0,,95,,114,118.0,,,,,,98.0,,,,,,,,,,,,,
2022_19,Porto,172.0,,151,,183,183.0,156.0,,,,,,,,,,,,,,,,,,
2022_20,Lisboa,133.0,113.0,120,116.0,134,,,,,,,,139.0,,,,,,,,,,,,
2022_21,Lisboa,,,145,,170,,,169.0,154.0,,,,,,,,,,,,,,,,
2022_22,Porto,146.0,,110,,132,124.0,116.0,,,,,,,,,,,,,,,,,,
2022_23,Lisboa,,,131,,166,,,,,145.0,,,,171.0,,,,,,,,,,,
2022_24,Porto,118.0,,109,,126,121.0,93.0,,,,,,,,,,,,,,,,,,
2022_25,Coimbra,89.0,,85,,100,92.0,,,,,,58.0,,,,,,,,,,,,,
2022_26,Porto,153.0,136.0,131,,160,,,,,,138.0,,,,,,,,,,,,,,
