Aluno_ID,Distrito,Matematica_A,Biologia_Geologia,Fisica_Quimica_A,Portugues,Nota_Interna,Desenho_A,Geometria_Descritiva_A,Economia_A,MACS,Historia_A,Geografia_A,HCA,Literatura_Portuguesa,Portugues_L2,Ingles,Italiano_Iniciacao,Portugues_LNM,Mandarim_Iniciacao,Latim_A,Historia_B,Matematica_B,Espanhol_Iniciacao,Alemao,Espanhol_Continuacao,Frances,Filosofia
2023_1,Braga,77.0,72.0,78.0,107,100,,,,,,,,,,,,,,,,,,,,,
2023_2,Lisboa,,,,130,126,135.0,79.0,,,,,,,,,,,,,,,,,,,
2023_3,Lisboa,102.0,100.0,108.0,107,125,,,,,,,,,,,,,,,,,,,,,
2023_4,Braga,199.0,180.0,199.0,198,200,,,,,,,,,,,,,,,,,,,,,
2023_5,Lisboa,132.0,,,150,158,,,136.0,160.0,,,,,,,,,,,,,,,,,
2023_6,Setúbal,200.0,161.0,155.0,195,191,,,,,,,,,,,,,,,,,,,,,
2023_7,Porto,173.0,,146.0,150,175,,167.0,,,,,,,,,,,,,,,,,,,
2023_8,Porto,,,,145,148,,,,,130.0,123.0,,,,,,,,,,,,,,,
2023_9,Coimbra,,,,136,144,148.0,,,,,,117.0,,,,,,,,,,,,,,
2023_10,Lisboa,95.0,,99.0,125,106,,73.0,,,,,,,,,,,,,,,,,,,
2023_11,Outro,166.0,138.0,143.0,151,169,,,,,,,,,,,,,,,,,,,,,
2023_12,Setúbal,168.0,156.0,153.0,166,167,,,,,,,,,,,,,,,,,,,,,
2023_13,Braga,,,,128,134,,,,131.0,109.0,,,,,,,,,,,,,,,,
2023_14,Braga,,,,119,118,,,,,106.0,,,107.0,,,,,,,,,,,,,
2023_15,Porto,163.0,175.0,141.0,158,169,,,,,,,,,,,,,,,,,,,,,
2023_16,Lisboa,137.0,,125.0,132,140,,95.0,,,,,,,,,,,,,,,,,,,
2023_17,Faro,,,,143,163,170.0,131.0,,,,,,,,,,,,,,,,,,,
2023_18,Porto,,,,110,105,,,,79.0,97.0,,,,,,,,,,,,,,,,
2023_19,Outro,178.0,,170.0,171,193,,196.0,,,,,,,,,,,,,,,,,,,
2023_20,Braga,,,,141,151,,,,150.0,132.0,,,,118.0,,,,,,,,,,,,
2023_21,Setúbal,,,,130,149,,,,,130.0,,,132.0,,,,,,,,,,,,,
2023_22,Outro,117.0,,,117,134,,,126.0,,,112.0,,,,,,,,,,,,,,,
2023_23,Leiria,141.0,,,137,154,,,135.0,122.0,,,,,,,,,,,,,,,,,
2023_24,Lisboa,129.0,,,138,147,,,135.0,145.0,,,,,,,,,,,,,,,,,
2023_25,Lisboa,131.0,136.0,127.0,145,148,,,,,,,,,,,,,,,,,,,,,
2023_26,Lisboa,62.0,,76.0,102,100,,39.0,,,,,,,,,,,,,,,,,,,
2023_27,Porto,151.0,,,145,159,,,132.0,146.0,,,,,,,,,,,,,,,,,
2023_28,Lisboa,131.0,146.0,132.0,140,150,,,,,,,,,,,,,,,,,,,,,
2023_29,Porto,,,,136,133,,,,112.0,117.0,,,,,,,,,,,,,,,,
2023_30,Lisboa,,,,150,167,,,,162.0,163.0,,,,,,,,,,,,,,,,
2023_31,Porto,180.0,157.0,158.0,155,174,,,,,,,,,,,,,,,,,,,,,
2023_32,Lisboa,200.0,185.0,199.0,186,200,,,,,,,,,,,,,,,,,,,,,
2023_33,Lisboa,132.0,,,125,132,,,126.0,124.0,,,,,,,,,,,,,,,,,
2023_34,Porto,200.0,160.0,199.0,185,196,,,,,,,,,,,,,,,,,,,,,
2023_35,Faro,,,,158,175,,,,,154.0,,,,,176.0,,,,,,,,,,,
2023_36,Outro,140.0,142.0,135.0,148,149,,,,,,,,,,,,,,,,,,,,,
2023_37,Faro,,,,135,134,,,,126.0,116.0,,,,,,,,,,,,,,,,
2023_38,Setúbal,88.0,96.0,112.0,112,118,,,,,,,,,,,,,,,,,,,,,
2023_39,Faro,,,,140,144,,,,,140.0,,,125.0,,,,,,,,,,,,,
2023_40,Outro,,,,165,178,178.0,,,,,,136.0,,,,,,,,,,,,,,
2023_41,Outro,158.0,136.0,130.0,147,161,,,,,,,,,,,134.0,,,,,,,,,,
2023_42,Outro,,,,136,141,,,,,115.0,,,110.0,,,,,,,,,,,,,
2023_43,Outro,106.0,,105.0,116,115,,77.0,,,,,,,,,,,,,,,,,,,
2023_44,Lisboa,158.0,,,147,164,,,147.0,,,122.0,,,,,,,,,,,,,,,
2023_45,Setúbal,,,,147,148,,,,,141.0,,,125.0,,,,,,,,,,,,,
2023_46,Porto,,,,158,158,,,,,142.0,139.0,,,,,,,,,,,,,,,
2023_47,Braga,135.0,132.0,121.0,139,145,,,,,,,,,,,,,,,,,,,,,
2023_48,Outro,,,,190,197,,,,,170.0,,,200.0,,,,,,,,,,,,,
2023_49,Outro,151.0,,,155,156,,,137.0,,,137.0,,,,,,,,,,,,,,,
2023_50,Faro,175.0,,,175,197,,,176.0,200.0,,,,,,,,,,,,,,,,,
2023_51,Outro,161.0,145.0,153.0,160,166,,,,,,,,,,,,,,,,,,,,,
2023_52,Lisboa,62.0,77.0,68.0,108,100,,,,,,,,,,,,,,,,,,,,,
2023_53,Lisboa,147.0,,,148,169,,,159.0,160.0,,,,,,,,,,,,,,,,,
2023_54,Setúbal,190.0,,179.0,182,200,,195.0,,,,,,,,,,,,,,,,,,,
2023_55,Outro,,,,108,113,,,,,89.0,,,105.0,,,,,,,,,,,,,
2023_56,Outro,113.0,116.0,118.0,127,135,,,,,,,,,,,,,,,,,,,,,
2023_57,Setúbal,,,,137,145,,,,125.0,127.0,,,,,,,,,,,,,,,,
2023_58,Outro,113.0,,,136,148,,,135.0,142.0,,,,,,,,,,,,,,,,,
2023_59,Lisboa,105.0,,,111,119,,,110.0,,,100.0,,,,,,,,,,,,,,,
2023_60,Lisboa,137.0,144.0,133.0,138,150,,,,,,,,,,,,,,,,,,,,,
2023_61,Porto,,,,146,166,156.0,130.0,,,,,,,,,,,,,,,,,,,
2023_62,Lisboa,178.0,,162.0,152,183,,171.0,,,,,,,,,,,,,,,,,,,
2023_63,Lisboa,123.0,,,130,134,,,132.0,,,106.0,,,,,,,,,,,,,,,
2023_64,Lisboa,,,,150,166,,,,,142.0,,,160.0,,,,,,,,,,,,,
2023_65,Porto,,,,131,147,,,,,119.0,,,,,157.0,,,,,,,,,,,
2023_66,Lisboa,44.0,58.0,61.0,95,100,,,,,,,,,,,,,,,,,,,,,
2023_67,Coimbra,,,,153,156,,,,,135.0,,,151.0,,,,,,,,,,,,,
2023_68,Coimbra,149.0,,,142,155,,,148.0,140.0,,,,,,,,,,,,,,,,,
2023_69,Lisboa,,,,145,153,160.0,,,,,,114.0,,,,,,,,,,,,,,
2023_70,Outro,111.0,118.0,107.0,126,127,,,,,,,,,,,,,,,,,,,,,
2023_71,Leiria,,,,175,177,,,,,159.0,138.0,,,,,,,,,,,,,,,
2023_72,Outro,168.0,,152.0,158,176,,186.0,,,,,,,,,,,,,,,,,,,
2023_73,Outro,168.0,146.0,138.0,164,169,,,,,,,,,,,,,,,,,,,,,
2023_74,Coimbra,122.0,,,136,153,,,132.0,143.0,,,,,,,,,,,,,,,,,
2023_75,Lisboa,105.0,112.0,109.0,118,131,,,,,,,,,,,,,,,,,,,,,
2023_76,Outro,108.0,122.0,117.0,126,122,,,,,,,,,,,,,,,,,,,,,
2023_77,Outro,,,,162,191,,,,,198.0,,,175.0,,,,,,,,,,,,,
2023_78,Outro,,,,161,180,169.0,175.0,,,,,,,,,,,,,,,,,,,
2023_79,Outro,177.0,150.0,143.0,149,165,,,,,,,,,,,,,,,,,,,,,
2023_80,Lisboa,189.0,185.0,177.0,154,189,,,,,,,,,,,,,,,,,,,,,
2023_81,Outro,163.0,,147.0,151,160,,125.0,,,,,,,,,,,,,,,,,,,
2023_82,Outro,,,,163,186,,,,,168.0,,,166.0,,,,,,,,,,,,,
2023_83,Outro,82.0,108.0,106.0,126,116,,,,,,,,,,,,,,,,,,,,,
2023_84,Outro,118.0,135.0,121.0,142,139,,,,,,,,,,,,,,,,,,,,,
2023_85,Braga,,,,133,155,,,,,131.0,,,,,160.0,,,,,,,,,,,
2023_86,Outro,166.0,,,160,166,,,161.0,,,131.0,,,,,,,,,,,,,,,
2023_87,Outro,181.0,170.0,199.0,175,195,,,,,,,,,,,,,,,,,,,,,
2023_88,Outro,135.0,,108.0,136,132,,105.0,,,,,,,,,,,,,,,,,,,
2023_89,Outro,,,,155,184,,,,,171.0,,,,,179.0,,,,,,,,,,,
2023_90,Setúbal,159.0,136.0,146.0,153,167,,,,,,,,,,,,,,,,,,,,,
2023_91,Leiria,,,,139,150,,,,138.0,126.0,,,,,,,,,,,,,,,,
2023_92,Lisboa,,,,122,123,,,,,99.0,96.0,,,,,,,,,,,,,,,
2023_93,Porto,179.0,,155.0,198,193,,189.0,,,,,,,,,,,,,,,,,,,
2023_94,Setúbal,,,,135,122,138.0,71.0,,,,,,,,,,,,,,,,,,,
2023_95,Lisboa,116.0,117.0,115.0,138,139,,,,,,,,,,,,,,,,,,,,,
2023_96,Lisboa,115.0,,109.0,125,127,,95.0,,,,,,,,,,,,,,,,,,,
2023_97,Lisboa,,,,133,143,,,,131.0,124.0,,,,,,,,,,,,,,,,
2023_98,Coimbra,187.0,160.0,158.0,162,178,,,,,,,,,,,,,,,,,,,,,
2023_99,Lisboa,190.0,151.0,150.0,168,178,,,,,,,,,,,,,,,,,,,,,
2023_100,Setúbal,152.0,,,149,162,,,163.0,,,142.0,,,,,,,,,,,,,,,
2023_101,Lisboa,169.0,,138.0,156,161,,125.0,,,,,,,,,,,,,,,,,,,
2023_102,Outro,,,,150,154,,,,,145.0,125.0,,,,,,,,,,,,,,,
2023_103,Outro,,,,198,200,189.0,,,,,,163.0,,,,,,,,,,,,,,
2023_104,Coimbra,200.0,,160.0,164,193,,195.0,,,,,,,,,,,,,,,,,,,
2023_105,Lisboa,,,,125,143,,,,,103.0,,,,,148.0,,,,,,,,,,,
2023_106,Porto,172.0,167.0,156.0,175,183,,,,,,,,,,,,,,,,,,,,,
2023_107,Lisboa,181.0,161.0,153.0,198,188,,,,,,,,,,,,,,,,,,,,,
2023_108,Lisboa,,,,161,163,,,,,157.0,,,149.0,,,,,,,,,,,,,
2023_109,Faro,155.0,,,159,171,,,156.0,165.0,,,,,,,,,,,,,,,,,
2023_110,Braga,133.0,116.0,131.0,140,145,,,,,,,,,,,,,,,,,,,,,
2023_111,Lisboa,101.0,125.0,112.0,125,134,,,,,,,,,,,,,,,,,,,,,
2023_112,Braga,,,,169,194,,,,,198.0,192.0,,,,,,,,,,,,,,,
2023_113,Outro,193.0,171.0,198.0,177,200,,,,,,,,,,,,,,,,,,,,,
2023_114,Lisboa,,,,125,140,131.0,99.0,,,,,,,,,,,,,,,,,,,
2023_115,Coimbra,,,,142,157,,,,,116.0,,,,,162.0,,,,,,,,,,,
2023_116,Outro,139.0,148.0,130.0,150,152,,,,,,,,,,,,,,,,,,,,,
2023_117,Outro,130.0,,113.0,141,140,,117.0,,,,,,,,,,,,,,,,,,,
2023_118,Outro,,,,145,140,,,,,119.0,125.0,,,,,,,,,,,,,,,
2023_119,Lisboa,115.0,,,116,128,,,115.0,108.0,,,,,,,,,,,,,,,,,
2023_120,Coimbra,,,,175,172,,,,,145.0,140.0,,,,,,,,,,,,,,,
2023_121,Porto,190.0,184.0,193.0,198,200,,,,,,,,,,,,,,,,,,,,,
2023_122,Porto,190.0,,,161,190,,,186.0,172.0,,,,,,,,,,,,,,,,,
2023_123,Braga,113.0,,,128,126,,,132.0,115.0,,,,,,,,,,,,,,,,,
2023_124,Porto,143.0,122.0,127.0,145,142,,,,,,,,,,,,,,,,,,,,,
2023_125,Lisboa,139.0,,,140,147,,,137.0,122.0,,,,,,,,,,,,,,,,,
2023_126,Porto,194.0,,,171,183,,,179.0,,,155.0,,,,,,,,,,,,,,,
2023_127,Outro,,,,142,154,156.0,116.0,,,,,,,,,,,,,,,,,,,
2023_128,Lisboa,146.0,,,132,146,,,126.0,125.0,,,,,,,,,,,,,,,,,
2023_129,Lisboa,,,,156,155,,,,,146.0,146.0,,,,,,,,,,,,,,,
2023_130,Lisboa,110.0,124.0,126.0,138,136,,,,,,,,,,,,,,,,,,,,,
2023_131,Porto,,,,120,139,,,,,96.0,,,,,136.0,,,,,,,,,,,
2023_132,Leiria,,,,168,188,187.0,175.0,,,,,,,,,,,,,,,,,,,
2023_133,Lisboa,,,,127,138,140.0,,,,,,101.0,,,,,,,,,,,,,,
2023_134,Outro,171.0,,143.0,149,174,,136.0,,,,,,,,,,200.0,,,,,,,,,
2023_135,Outro,142.0,,125.0,131,144,,109.0,,,,,,,,,,,,,,,,,,,
2023_136,Porto,,,,173,193,178.0,185.0,,,,,,,,,,,,,,,,,,,
2023_137,Lisboa,75.0,101.0,99.0,115,114,,,,,,,,,,,,,,,,,,,,,
2023_138,Lisboa,177.0,159.0,159.0,166,178,,,,,,,,,,,,,,,,,,,,,
2023_139,Porto,,,,155,154,157.0,,,,,,135.0,,,,,,,,,,,,,,
2023_140,Outro,,,,149,171,,,,164.0,140.0,,,,,,,,,,,,,,,,
2023_141,Lisboa,117.0,104.0,105.0,127,120,,,,,,,,,,,,,,,,,,,,,
2023_142,Porto,,,,162,184,,,,,166.0,,,176.0,,,,,,,,,,,,,
2023_143,Outro,,,,151,172,,,,,146.0,,,,,177.0,,,,,,,,,,,
2023_144,Porto,56.0,98.0,99.0,113,104,,,,,,,,,,,,,,,,,,,,,
2023_145,Faro,,,,127,145,,,,,112.0,,,,,151.0,,,,,,,,,,,
2023_146,Braga,175.0,161.0,142.0,157,170,,,,,,,,,,,,,,,,,,,,,
2023_147,Outro,160.0,,,146,160,,,149.0,,,128.0,,,,,,,,,,,,,,,
2023_148,Outro,,,,109,131,,,,,95.0,,,,,135.0,,,,,,,,,,,
2023_149,Lisboa,185.0,,178.0,169,190,,171.0,,,,,,,,,,,,,,,,,,,
2023_150,Outro,146.0,,,135,156,,,147.0,,,132.0,,,,,,,,,,,,,,,
2023_151,Lisboa,91.0,102.0,96.0,119,119,,,,,,,,,,,,,,,,,,,,,
2023_152,Porto,,,,161,161,,,,153.0,141.0,,,,,,,,,,,,,,,,
2023_153,Setúbal,,,,198,198,,,,183.0,180.0,,,,,,,,,,,,,,,,
2023_154,Outro,,,,192,200,,,,,198.0,168.0,,,,,,,,,,,,,,,
2023_155,Setúbal,181.0,,176.0,160,192,,181.0,,,,,,,,,,,,,,,,,,,
2023_156,Porto,181.0,199.0,171.0,198,200,,,,,,,,,,,,,,,,,,,,,
2023_157,Braga,138.0,,,156,175,,,147.0,165.0,,,,,,,,,,,,,,,,,
2023_158,Braga,61.0,,,96,102,,,100.0,,,88.0,,,,,,,,,,,,,,,
2023_159,Porto,126.0,,,120,134,,,116.0,,,115.0,,,,,,,,,,,,,,,
2023_160,Setúbal,,,,125,138,134.0,,,,,,110.0,,,,,,,,,,,,,,
2023_161,Lisboa,99.0,,,119,126,,,116.0,,,105.0,,,,,,,,,,,,,,,
2023_162,Setúbal,,,,157,164,156.0,,,,,,137.0,,,,,,,,,,,,,,
2023_163,Porto,150.0,157.0,132.0,146,158,,,,,,,,,,,,,,,,,,,,,
2023_164,Outro,185.0,,146.0,167,186,,178.0,,,,,,,,,,,,,,,,,,,
2023_165,Lisboa,,,,172,174,,,,,169.0,,,155.0,,,,,,,,,,,,,
2023_166,Setúbal,150.0,156.0,150.0,145,165,,,,,,,,,,,,,,,,,,,,,
2023_167,Outro,,,,137,146,,,,,139.0,132.0,120.0,,,,,,,,,,,,,,
2023_168,Outro,96.0,100.0,105.0,116,117,,,,,,,,,,,,,,,,,,,,,
2023_169,Setúbal,135.0,,,136,146,,,139.0,,,117.0,,,,,,,,,,,,,,,
2023_170,Lisboa,88.0,121.0,114.0,116,125,,,,,,,,,,,,,,,,,,,,,
2023_171,Porto,,,,127,137,,,,,121.0,110.0,,,,,,,,,,,,,,,
2023_172,Leiria,,,,155,167,,,,,158.0,150.0,,,,,,,,,,,,,,,
2023_173,Leiria,185.0,166.0,146.0,167,186,,,,,,,,,,,,,,,,,,,,,
2023_174,Coimbra,200.0,188.0,148.0,169,189,,,,,,,,,,,,,,,,,,,,,
2023_175,Lisboa,,,,155,175,,,,169.0,155.0,,,,,,,,,,,,,,,,
2023_176,Porto,,,,152,155,,,,,148.0,130.0,,,,,,,,,,,,,,,
2023_177,Leiria,146.0,,122.0,150,156,,145.0,,,,,,,,,,,,,,,,,,,
2023_178,Faro,,,,135,148,148.0,106.0,,,,,,,,,,,,,,,,,,,
2023_179,Setúbal,193.0,,150.0,155,176,,156.0,,,,,,,,,,,,,,,,,,,
2023_180,Porto,,,,158,178,,,,,145.0,,,,,178.0,,,,,,,,,,,
2023_181,Lisboa,175.0,157.0,146.0,198,177,,,,,,,,,,,,,,,,,,,,,
2023_182,Lisboa,157.0,,137.0,149,164,,160.0,,,,,,,,,,,,,,,,,,,
2023_183,Porto,178.0,,159.0,155,189,,195.0,,,,,,,,,,,,,,,,,,,
2023_184,Lisboa,135.0,132.0,138.0,151,147,,,,,,,,,,,,,,,,,,,,,
2023_185,Outro,81.0,,,111,110,,,97.0,,,86.0,,,,,,,,,,,,,,,
2023_186,Outro,,,,110,111,117.0,59.0,,,,,,,,,,,,,,,,,,,
2023_187,Leiria,105.0,116.0,107.0,135,136,,,,,,,,,,,,,,,,,,,,,
2023_188,Coimbra,190.0,147.0,140.0,165,175,,,,,,,,,,,,,,,,,,,,,
2023_189,Outro,,,,158,182,200.0,,,,,,153.0,,,,,,,,,,,,,,
2023_190,Leiria,135.0,141.0,130.0,146,156,,,,,,,,,,,,,,,,,,,,,
2023_191,Setúbal,157.0,,129.0,153,153,,125.0,,,,,,,,,,,,,,,,,,,
2023_192,Outro,,,,158,181,171.0,,,,,,138.0,,,,,,195.0,,,,,,,,
2023_193,Lisboa,178.0,,,166,185,,,170.0,,,155.0,,,,,,,,,,,,,,,
2023_194,Lisboa,,,,135,141,,,,,137.0,,,122.0,,,,,,,,,,,,,
