Aluno_ID,Distrito,Historia_A,Portugues,Geografia_A,Nota_Interna,MACS,Matematica_A,Fisica_Quimica_A,Biologia_Geologia,Economia_A,Desenho_A,Geometria_Descritiva_A,Ingles,Literatura_Portuguesa,HCA,Italiano_Iniciacao,Frances,Historia_B,Portugues_L2,Latim_A,Espanhol_Continuacao,Matematica_B,Espanhol_Iniciacao,Alemao,Mandarim_Iniciacao,Filosofia,Portugues_LNM
2024_1,Outro,131.0,130,120.0,144,,,,,,,,,,,,,,,,,,,,,,
2024_2,Outro,123.0,117,104.0,126,,,,,,,,,,,,,,,,,,,,,,
2024_3,Porto,125.0,125,,148,135.0,,,,,,,,,,,,,,,,,,,,,
2024_4,Outro,,106,,107,,86.0,106.0,88.0,,,,,,,,,,,,,,,,,,
2024_5,Outro,,110,107.0,139,,130.0,,,142.0,,,,,,,,,,,,,,,,,
2024_6,Setúbal,,128,,143,,,,,,148.0,131.0,,,,,,,,,,,,,,,
2024_7,Lisboa,136.0,123,109.0,140,,,,,,,,,,,,,,,,,,,,,,
2024_8,Outro,,111,,124,,134.0,108.0,87.0,,,,,,,,,,,,,,,,,,
2024_9,Outro,,117,,135,,147.0,115.0,106.0,,,,,,,,,,,,,,,,,,
2024_10,Outro,166.0,148,,173,,,,,,,,178.0,,,,,,,,,,,,,,
2024_11,Outro,,127,,153,,164.0,145.0,124.0,,,,,,,,,,,,,,,,,,
2024_12,Porto,143.0,135,,146,137.0,,,,,,,,,,,,,,,,,,,,,
2024_13,Outro,,137,,172,,195.0,147.0,146.0,164.0,,,,,,,,,,,,,,,,,
2024_14,Lisboa,63.0,65,62.0,100,,,,,,,,,,,,,,,,,,,,,,
2024_15,Porto,148.0,118,,155,,,,,,,,,140.0,,,,,,,,,,,,,
2024_16,Setúbal,128.0,105,,136,,,,,,,,150.0,,,,,,,,,,,,,,
2024_17,Lisboa,200.0,160,188.0,195,,,,,,,,,,,,,,,,,,,,,,
2024_18,Coimbra,,160,,197,,196.0,164.0,196.0,,,,,,,,,,,,,,,,,,
2024_19,Porto,,99,,116,,109.0,104.0,98.0,,,,,,,,,,,,,,,,,,
2024_20,Faro,145.0,112,,145,,,,,,,,149.0,,,,,,,,,,,,,,
2024_21,Braga,,130,,163,,156.0,155.0,,,,141.0,,,,,,,,,,,,,,,
2024_22,Outro,,75,,100,,87.0,64.0,71.0,,,,,,,,,,,,,,,,,,
2024_23,Porto,,158,,194,,196.0,177.0,,,,197.0,,,,,,,,,,,,,,,
2024_24,Outro,,171,,200,,,,,,190.0,196.0,,,,,,,,,,,,,,,
2024_25,Coimbra,,156,,183,,,,,,176.0,,,,158.0,,,,,,,,,,,,
2024_26,Setúbal,,95,,107,,105.0,99.0,,,,93.0,,,,,,,,,,,,,,,
2024_27,Lisboa,,156,,184,,,,,,176.0,166.0,,,,,,,,,,,,,,,
2024_28,Coimbra,144.0,146,,162,,,,,,,,162.0,,,,,,,,,,,,,,
2024_29,Leiria,96.0,98,,110,101.0,,,,,,,,,,,,,,,,,,,,,
2024_30,Leiria,188.0,160,,186,,,,,,,,184.0,,,,,,,,,,,,,,
2024_31,Outro,,140,,176,,,,,,167.0,,,,168.0,,,,,,,,,,,,
2024_32,Lisboa,,151,,180,,189.0,172.0,144.0,,,,,,,,,,,,,,,,,,
2024_33,Coimbra,,113,,150,125.0,165.0,,,140.0,,,,,,,,,,,,,,,,,
2024_34,Lisboa,,126,,132,,124.0,136.0,97.0,,,,,,,,,,,,,,,,,,
2024_35,Leiria,,139,,174,,182.0,161.0,149.0,,,,,,,163.0,,,,,,,,,,,
2024_36,Outro,,128,,141,,143.0,120.0,,,,135.0,,,,,,,,,,,,,,,
2024_37,Lisboa,,172,,191,,193.0,158.0,160.0,,,,,,,,,,,,,,,,,,
2024_38,Lisboa,,127,,158,,168.0,132.0,,,,142.0,,,,,,,,,,,,,,,
2024_39,Braga,,161,165.0,186,,185.0,,,188.0,,,,,,,,,,,,,,,,,
2024_40,Faro,160.0,138,125.0,153,,,,,,,,,,,,,,,,,,,,,,
2024_41,Outro,,86,,109,110.0,90.0,,,99.0,,,,,,,,,,,,,,,,,
2024_42,Coimbra,,121,119.0,154,,165.0,,,142.0,,,,,,,,,,,,,,,,,
2024_43,Lisboa,,138,,163,,,,,,160.0,158.0,,,,,,,,,,,,,,,
2024_44,Outro,,183,,200,,200.0,200.0,196.0,,,,200.0,,,,,,,,,,,,,,
2024_45,Porto,,82,,100,,76.0,92.0,78.0,,,,,,,,,,,,,,,,,,
2024_46,Lisboa,106.0,91,,110,,,,,,,,,106.0,,,,,,,,,,,,,
2024_47,Lisboa,,125,,159,135.0,175.0,,,151.0,,,,,,,,,,,,,,,,,
2024_48,Leiria,,82,,100,,80.0,71.0,74.0,,,,,,,,,,,,,,,,,,
2024_49,Porto,133.0,120,,137,,,,,,,,,128.0,,,,,,,,,,,,,
2024_50,Lisboa,,156,,177,,190.0,167.0,151.0,,,,,,,,,,,,,,,,,,
2024_51,Lisboa,200.0,170,155.0,190,,,,,,,,,,,,,,,,,,,,,,
2024_52,Outro,130.0,115,,133,,,,,,,,,109.0,,,,,,,,,,,,,
2024_53,Outro,156.0,166,,176,150.0,,,,,,,,,,,,,,,,,,,,,
2024_54,Braga,,95,,107,,97.0,84.0,74.0,,,,,,,,,,,,,,,,,,
2024_55,Porto,,98,,100,,97.0,80.0,,,,56.0,,,,,,,,,,,,,,,
2024_56,Outro,,116,,149,122.0,146.0,,,139.0,,,,,,,,,,,,,,,,,
2024_57,Porto,,163,,182,,,,,,176.0,,,,156.0,,,,,,,,,,,,
2024_58,Lisboa,,149,158.0,184,,197.0,,,182.0,,,,,,,,,,,,,,,,,
2024_59,Lisboa,,129,,162,143.0,180.0,,,148.0,,,,,,,,,,,,,,,,,
2024_60,Lisboa,,155,,192,,194.0,183.0,181.0,,,,,,,,,,,,,,,,,,
2024_61,Setúbal,191.0,156,,188,,,,,,,,,176.0,,,,,,,,,,,,,
2024_62,Outro,,129,,156,,166.0,147.0,,,,132.0,,,,,,,,,,,,,,,
2024_63,Outro,,107,,113,,118.0,100.0,103.0,,,,,,,,,,,,,,,,,,
2024_64,Coimbra,,118,,150,,156.0,148.0,122.0,,,,,,,,,,,,,,,,,,
2024_65,Outro,,115,,139,,135.0,135.0,121.0,,,,,,,,,,,,,,,,,,
2024_66,Setúbal,,140,124.0,153,,177.0,,,140.0,,,,,,,,,,,,,,,,,
2024_67,Porto,,115,,126,,146.0,121.0,97.0,,,,,,,,,,,,,,,,,,
2024_68,Outro,111.0,115,,132,112.0,,,,,,,,,,,,,,,,,,,,,
2024_69,Outro,,107,,130,,,,,,142.0,91.0,,,,,,,,,,,,,,,
2024_70,Porto,149.0,127,,144,,,,,,,,,130.0,,,,,,,,,,,,,
