Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Ciências Farmacêuticas (Preparatórios),0140-8031,152.5,152.8,0.3
Medicina Veterinária (Preparatórios),0140-8086,164.1,164.2,0.1
Ciências Agrárias,0140-9022,,98.0,
Guias de Natureza e Património,0140-L344,120.3,120.5,0.2
Estudos Europeus,0150-9135,115.6,116.0,0.4
História,0150-9181,146.4,146.5,0.1
Psicologia,0150-9219,153.9,154.2,0.3
Serviço Social,0150-9238,122.6,123.0,0.4
Sociologia,0150-9240,114.9,115.0,0.1
Comunicação e Relações Públicas,0150-9652,119.4,119.5,0.1
Educação Básica,0150-9853,147.9,148.0,0.1
Estudos Portugueses e Ingleses,0150-L041,140.9,141.0,0.1
Ciclo Básico de Medicina,0160-8083,176.5,176.2,-0.3
Proteção Civil e Gestão de Riscos,0160-8524,128.2,128.0,-0.2
Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,125.3,125.2,-0.1
Biologia,0160-9011,114.5,114.5,0.0
Informática,0160-9185,122.2,122.0,-0.2
Economia,0170-9081,151.0,151.0,0.0
Gestão,0170-9147,111.2,111.5,0.3
Turismo,0170-9254,111.3,112.0,0.7
Património Cultural e Arqueologia,0201-8509,121.2,121.5,0.3
"Línguas, Literaturas e Culturas",0201-9204,132.8,133.0,0.2
Psicologia,0201-9219,162.0,163.0,1.0
Artes Visuais,0201-9817,136.8,136.8,0.0
Ciências da Educação e da Formação,0201-9821,129.2,129.5,0.3
Línguas e Comunicação Intercultural,0201-L252,124.0,124.5,0.5
Arquitetura Paisagista,0203-8258,145.5,145.5,0.0
Agronomia,0203-9003,122.3,122.2,-0.1
Biologia,0203-9011,133.7,133.5,-0.2
Biologia Marinha,0203-9013,135.2,135.0,-0.2
Bioquímica,0203-9015,125.7,125.8,0.1
Biotecnologia,0203-9016,124.4,124.5,0.1
Engenharia Informática,0203-9119,111.1,110.0,-1.1
Matemática Aplicada à Economia e à Gestão,0203-9210,115.8,116.0,0.2
Ciências Farmacêuticas,0203-9494,141.3,141.2,-0.1
Bioengenharia,0203-9540,120.7,120.8,0.1
Gestão Marinha e Costeira,0203-L123,108.4,108.5,0.1
Economia,0204-9081,133.3,133.2,-0.1
Gestão de Empresas,0204-9152,147.8,148.0,0.2
Sociologia,0204-9240,132.3,132.5,0.2
Ciências Biomédicas,0206-9351,142.1,142.0,-0.1
Administração Pública,0300-9002,151.0,154.0,3.0
Biologia,0300-9011,147.4,150.5,3.1
Biologia e Geologia,0300-9012,141.8,144.5,2.7
Bioquímica,0300-9015,148.2,149.5,1.3
Biotecnologia,0300-9016,161.4,163.5,2.1
Ciências do Mar,0300-9041,129.5,129.5,0.0
Design,0300-9069,170.0,170.5,0.5
Economia,0300-9081,168.0,170.5,2.5
Engenharia Civil,0300-9089,146.0,148.2,2.2
Engenharia de Materiais,0300-9096,129.4,128.5,-0.9
Engenharia do Ambiente,0300-9099,119.6,122.2,2.6
Engenharia e Gestão Industrial,0300-9104,167.2,168.8,1.6
Engenharia Física,0300-9113,127.3,127.2,-0.1
Engenharia Informática,0300-9119,175.0,177.5,2.5
Engenharia Mecânica,0300-9123,159.5,159.8,0.3
Engenharia Química,0300-9125,133.8,135.2,1.4
Física,0300-9141,130.3,132.2,1.9
Geologia,0300-9146,125.6,126.5,0.9
Gestão,0300-9147,175.0,176.5,1.5
Línguas e Estudos Editoriais,0300-9194,156.2,160.0,3.8
Línguas e Relações Empresariais,0300-9196,152.4,155.5,3.1
"Línguas, Literaturas e Culturas",0300-9204,143.8,147.5,3.7
Matemática,0300-9209,145.8,147.5,1.7
Psicologia,0300-9219,168.5,169.8,1.3
Química,0300-9223,143.2,146.0,2.8
Tradução,0300-9252,144.8,148.5,3.7
Ciências Biomédicas,0300-9351,174.3,174.5,0.2
Engenharia Biomédica,0300-9455,166.0,167.5,1.5
Medicina,0300-9813,182.0,189.5,7.5
Educação Básica,0300-9853,149.3,151.8,2.5
Gestão e Planeamento em Turismo,0300-L187,143.4,146.5,3.1
Engenharia de Automação Industrial,0300-L202,113.3,114.0,0.7
Engenharia Eletrotécnica e de Computadores,0300-L209,134.4,134.0,-0.4
Engenharia de Computadores e Informática,0300-L217,145.5,145.5,0.0
Engenharia Aeroespacial,0300-L221,183.8,193.2,9.4
Engenharia Computacional,0300-L223,127.8,129.0,1.2
Multimédia e Tecnologias da Comunicação,0300-L254,149.8,152.8,3.0
