Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Ciências Farmacêuticas (Preparatórios),0140-8031,130.3,129.5,-0.8
1,Medicina Veterinária (Preparatórios),0140-8086,167.9,187.5,19.6
1,Ciências Agrárias,0140-9022,115.2,114.5,-0.7
1,Estudos Europeus,0150-9135,109.5,109.5,0.0
1,História,0150-9181,138.3,140.0,1.7
1,Psicologia,0150-9219,153.6,158.0,4.4
1,Serviço Social,0150-9238,126.2,126.5,0.3
1,Sociologia,0150-9240,112.6,114.0,1.4
1,Comunicação e Relações Públicas,0150-9652,123.1,117.5,-5.6
1,Educação Básica,0150-9853,128.0,127.0,-1.0
1,Estudos Portugueses e Ingleses,0150-L041,130.8,130.5,-0.3
1,Ciclo Básico de Medicina,0160-8083,181.8,175.5,-6.3
1,Proteção Civil e Gestão de Riscos,0160-8524,117.0,116.5,-0.5
1,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),0160-8571,161.3,160.5,-0.8
1,Biologia,0160-9011,141.9,139.0,-2.9
1,Informática,0160-9185,129.0,127.5,-1.5
1,Economia,0170-9081,114.0,113.0,-1.0
1,Gestão,0170-9147,129.3,128.5,-0.8
1,Turismo,0170-9254,115.4,113.0,-2.4
1,Património Cultural e Arqueologia,0201-8509,127.2,128.8,1.6
1,"Línguas, Literaturas e Culturas",0201-9204,138.4,141.5,3.1
1,Psicologia,0201-9219,159.3,178.5,19.2
1,Artes Visuais,0201-9817,121.3,122.5,1.2
1,Ciências da Educação e da Formação,0201-9821,133.7,135.8,2.1
1,Línguas e Comunicação Intercultural,0201-L252,123.8,123.0,-0.8
1,Arquitetura Paisagista,0203-8258,132.7,134.0,1.3
1,Agronomia,0203-9003,124.2,123.0,-1.2
1,Biologia,0203-9011,142.5,144.5,2.0
1,Biologia Marinha,0203-9013,143.1,145.0,1.9
1,Bioquímica,0203-9015,144.1,146.0,1.9
1,Biotecnologia,0203-9016,140.8,142.0,1.2
1,Engenharia Informática,0203-9119,128.7,125.0,-3.7
1,Matemática Aplicada à Economia e à Gestão,0203-9210,119.6,115.2,-4.4
1,Ciências Farmacêuticas,0203-9494,150.6,153.5,2.9
1,Bioengenharia,0203-9540,118.4,115.5,-2.9
1,Gestão Marinha e Costeira,0203-L123,128.8,129.5,0.7
1,Economia,0204-9081,127.6,126.0,-1.6
1,Gestão de Empresas,0204-9152,146.5,143.5,-3.0
1,Sociologia,0204-9240,130.8,131.5,0.7
1,Ciências Biomédicas,0206-9351,162.1,158.0,-4.1
1,Administração Pública,0300-9002,147.2,147.0,-0.2
1,Biologia,0300-9011,155.8,157.0,1.2
1,Biologia e Geologia,0300-9012,147.4,144.5,-2.9
1,Bioquímica,0300-9015,160.8,154.5,-6.3
1,Biotecnologia,0300-9016,168.4,167.0,-1.4
1,Ciências do Mar,0300-9041,135.5,130.0,-5.5
1,Design,0300-9069,165.2,160.5,-4.7
1,Economia,0300-9081,165.6,162.5,-3.1
1,Engenharia Civil,0300-9089,129.0,128.0,-1.0
1,Engenharia de Materiais,0300-9096,122.0,118.0,-4.0
1,Engenharia do Ambiente,0300-9099,132.2,129.5,-2.7
1,Engenharia e Gestão Industrial,0300-9104,158.2,154.0,-4.2
1,Engenharia Física,0300-9113,147.8,143.0,-4.8
1,Engenharia Informática,0300-9119,174.0,170.5,-3.5
1,Engenharia Mecânica,0300-9123,152.0,147.0,-5.0
1,Engenharia Química,0300-9125,147.2,144.0,-3.2
1,Física,0300-9141,132.0,129.5,-2.5
1,Geologia,0300-9146,135.0,133.0,-2.0
1,Gestão,0300-9147,172.4,171.0,-1.4
1,Línguas e Estudos Editoriais,0300-9194,158.0,172.5,14.5
1,Línguas e Relações Empresariais,0300-9196,153.2,151.5,-1.7
1,"Línguas, Literaturas e Culturas",0300-9204,150.0,151.0,1.0
1,Matemática,0300-9209,153.8,151.5,-2.3
1,Psicologia,0300-9219,165.5,170.8,5.3
1,Química,0300-9223,119.8,118.0,-1.8
1,Tradução,0300-9252,149.0,149.5,0.5
1,Ciências Biomédicas,0300-9351,174.3,176.0,1.7
1,Engenharia Biomédica,0300-9455,170.0,172.5,2.5
1,Educação Básica,0300-9853,140.5,135.2,-5.3
1,Gestão e Planeamento em Turismo,0300-L187,144.8,144.2,-0.6
1,Engenharia de Automação Industrial,0300-L202,120.3,117.5,-2.8
1,Engenharia Eletrotécnica e de Computadores,0300-L209,124.0,116.5,-7.5
1,Engenharia de Computadores e Informática,0300-L217,150.5,148.0,-2.5
1,Engenharia Aeroespacial,0300-L221,184.4,200.0,15.6
1,Engenharia Computacional,0300-L223,134.5,130.0,-4.5
1,Multimédia e Tecnologias da Comunicação,0300-L254,145.0,137.8,-7.2
1,Optometria e Ciências da Visão,0400-8184,129.8,128.0,-1.8
1,Bioquímica,0400-9015,132.1,130.0,-2.1
1,Biotecnologia,0400-9016,131.8,129.0,-2.8
1,Ciência Política e Relações Internacionais,0400-9020,160.9,159.5,-1.4
1,Ciências da Comunicação,0400-9023,146.3,142.2,-4.1
1,Ciências da Cultura,0400-9025,126.2,126.8,0.6
1,Cinema,0400-9048,144.2,141.5,-2.7
1,Design de Moda,0400-9071,146.2,147.0,0.8
1,Design Industrial,0400-9074,108.0,102.5,-5.5
1,Design Multimédia,0400-9075,114.6,109.5,-5.1
1,Economia,0400-9081,134.7,135.0,0.3
1,Engenharia Civil,0400-9089,152.5,153.0,0.5
1,Engenharia e Gestão Industrial,0400-9104,125.1,122.0,-3.1
1,Engenharia Eletromecânica,0400-9105,127.8,128.5,0.7
1,Engenharia Eletrotécnica e de Computadores,0400-9112,157.0,156.5,-0.5
1,Engenharia Informática,0400-9119,138.0,136.5,-1.5
1,Filosofia,0400-9139,118.7,117.0,-1.7
1,Gestão,0400-9147,147.8,145.0,-2.8
1,Marketing,0400-9205,133.3,135.8,2.5
1,Psicologia,0400-9219,162.1,184.5,22.4
1,Química Industrial,0400-9225,121.3,116.0,-5.3
1,Sociologia,0400-9240,139.1,141.0,1.9
1,Arquitetura,0400-9257,155.1,156.5,1.4
1,Ciências Biomédicas,0400-9351,160.3,157.5,-2.8
1,Ciências Farmacêuticas,0400-9494,156.8,155.0,-1.8
1,Ciências do Desporto,0400-9707,138.2,133.5,-4.7
1,Engenharia Aeronáutica,0400-9740,158.6,156.5,-2.1
1,Medicina,0400-9813,182.3,174.0,-8.3
1,Matemática e Aplicações,0400-9835,130.1,128.2,-1.9
1,Estudos Portugueses e Espanhóis,0400-9918,126.2,125.0,-1.2
1,Física e Aplicações,0400-L205,149.9,150.5,0.6
1,Tecnologia e Produto de Moda Sustentável,0400-L258,133.6,133.0,-0.6
1,Química Medicinal,0501-8408,113.8,111.5,-2.3
1,Biologia,0501-9011,150.5,151.0,0.5
1,Bioquímica,0501-9015,148.0,142.5,-5.5
1,Engenharia Civil,0501-9089,123.8,119.5,-4.3
1,Engenharia do Ambiente,0501-9099,118.0,115.0,-3.0
1,Engenharia e Gestão Industrial,0501-9104,149.8,149.0,-0.8
1,Engenharia Física,0501-9113,148.8,143.5,-5.3
1,Engenharia Informática,0501-9119,158.0,157.5,-0.5
1,Engenharia Mecânica,0501-9123,141.5,137.5,-4.0
1,Engenharia Química,0501-9125,124.0,121.0,-3.0
1,Física,0501-9141,141.5,137.5,-4.0
1,Geologia,0501-9146,130.0,129.5,-0.5
1,Matemática,0501-9209,148.5,145.5,-3.0
1,Química,0501-9223,116.5,116.5,0.0
1,Arquitetura,0501-9257,158.5,158.0,-0.5
1,Antropologia,0501-9448,133.0,131.5,-1.5
1,Engenharia Biomédica,0501-9455,165.5,159.5,-6.0
1,Design e Multimédia,0501-9891,154.5,150.5,-4.0
1,Engenharia e Ciência de Dados,0501-L192,145.0,147.5,2.5
1,Engenharia Eletrotécnica e de Computadores,0501-L209,119.3,118.0,-1.3
1,Gestão de Cidades Sustentáveis e Inteligentes,0501-L285,122.5,116.5,-6.0
